P08144037A0000|0 10|Thioredoxin
P01657246A0325|77 79|Met
P08677443A0238|77 79|VIP
P11254504A0766|77 79|Sp1
P03088643A0000|77 78|CS
P11145590A0217|77 78|TG
P03104245A0402|77 77|p
P07676655A0214|77 77|D
P10770065A0264|77 77|R
P07981246A0112|77 77|s
P02253663A0687|77 77|h
P09011744A0790|78 83|Grin2a
P09584180A0701|78 82|Stat6
P08634697A1155|78 82|Brca1
P01516829A0460|78 81|SNF6
P07547500A0066|78 81|GAL4
P11589568A0744|78 81|Bub3
P08840501A0345|78 81|ACT4
P08389365A1344|78 81|GATC
P08702807A0964|78 81|MKK1
P03537721A0491|78 81|GAL4
P07061263A0293|78 80|min
P11472696A0387|78 80|ACS
P10446998A0955|78 80|SRF
P08647434A1124|78 80|TBP
P08918464A0225|78 80|STK
P03911052A0909|78 79|CP
P01637758A0532|78 79|cm
P11509266A0955|78 78|P
P07905413A0585|78 78|h
P07583562A1826|78 78|P
P02264601A0000|78 78|P
P08630542A1421|78 78|Q
P02632904A0619|78 78|p
P10601606A0152|78 78|h
P09084174A0667|79 91|dehydrogenase
P03652083A0720|79 86|collagen
P10228009A0600|79 83|TRAF6
P09162092A0675|79 82|MKK3
P09343398A1193|79 82|poly
P08798635A0870|79 82|ARF6
P07568118A1267|79 82|step
P08286035A0587|79 82|poly
P07596287A0183|79 82|ORF1
P09121430A0132|79 82|Grb2
P04101003T0001|79 81|dog
P11834476A1187|79 81|min
P07799948A0777|79 81|Src
P11076860A0872|79 81|Kua
P08604338A0885|79 81|SRF
P07860208A0000|79 81|TNF
P10384129A0000|79 81|CD4
P10770065A0264|79 79|b
P01470243A0871|79 79|p
P10872851A0714|79 79|P
P11427329A1077|79 79|r
P07297978A0570|79 79|A
P09312087A0000|80 90|phosphatase
P07981246A0112|80 88|G-protein
P01762917A0615|80 85|TFIIIA
P07535768A1076|80 83|PAC1
P10983979T0000|80 83|step
P08973917T0000|80 83|PWP2
P10721698A1195|80 83|CSTB
P11755894A0466|80 83|pain
P01320640A0336|80 82|VIP
P07563994A0488|80 82|min
P09857197A0289|80 82|NES
P10938109A1361|80 82|EGF
P09918715A1158|80 82|TBP
P11559821A1315|80 82|CBP
P11886473A0796|80 82|nod
P08132574A0831|80 82|RP1
P02617623A0740|80 80|m
P02376023A0307|80 80|P
P10673426A0168|80 80|T
P07857086A0949|80 80|D
P11359827T0000|80 80|J
P03818866A0116|80 80|p
P10489680A0927|80 80|P
P11538437A0568|80 80|B
P10940892A0573|81 87|D4Mit89
P08088777A0754|81 86|Col5a1
P09407026A0426|81 85|nuc-1
P07557717A0184|81 84|pain
P10805729A0987|81 84|DDP1
P08065365A0000|81 84|step
P08529098A0549|81 84|SMF1
P11560992A0651|81 84|MKK4
P01358758A0000|81 83|Far
P03023682A0271|81 83|CAT
P09331864A0848|81 83|MGA
P09058378A1134|81 83|p53
P10493876A0000|81 83|11S
P00454780A0340|81 82|Ta
P07084617A0204|81 82|wk
P11150439A0701|81 82|CO
P01892680A0907|81 81|p
P09819038A0448|81 81|h
P10703633A0747|81 81|p
P02044975A0380|81 81|h
P10216052A1682|81 81|p
P11278563A0917|82 90|tankyrase
P11350982A0560|82 85|GCN2
P07784078A1064|82 84|PML
P08812490A1509|82 84|MIP
P10228795A0842|82 84|EFS
P06634712A0557|82 84|PTH
P02474110A1039|82 84|ACE
P11012680A0676|82 84|Src
P08173532A0000|82 84|cue
P07907846A0623|82 84|min
P10504332A0701|82 84|RAP
P07061263A0293|82 83|Px
P10972980A0295|82 83|PI
P01526658A0454|82 82|T
P08396749A1112b|82 82|P
P08410097A0356|82 82|p
P08522530A1342|82 82|s
P00427715A0000|82 82|B
P06517816A0388|82 82|p
P02373810A1118|82 82|p
P01723962A0165|82 82|h
P08396749A1112a|82 82|P
P02339447A0162|82 82|A
P10543270A1054|82 82|p
P09236656A0124|82 82|L
P04036838A0918|82 82|p
P08565548A0196|83 90|collagen
P08662789A0673|83 88|RPS30A
P10322629A0198|83 87|Pax-2
P10861906A1479|83 87|KIN28
P07516466A1054|83 86|PP2A
P09010223A1850|83 86|FLI1
P07760841A0647|83 86|ADH2
P07862154A0340|83 86|RAF1
P02065022A0747|83 85|dbl
P08361755A0734|83 85|SRF
P11058119A0957|83 85|XPA
P08649405T0000|83 85|AP1
P09268578A0225|83 85|mud
P08020962A1226|83 85|Alu
P02196311A1034|83 85|RNL
P08958720A1204|83 84|CO
P03690262A0428|83 84|T2
P08045834A0783|83 83|P
P09502627A0705|83 83|p
P09610755A1731|83 83|p
P09061697A0629|83 83|h
P09268631A0316|84 88|Igf2r
P09317131A1332|84 88|STAT6
P07914507A1029|84 87|poly
P09315631A1064|84 87|POR1
P09727046A0784|84 87|TAL1
P09203586A1197|84 87|step
P00159600A0871|84 86|SHR
P08959778A0292|84 86|EGF
P07616569A0168|84 86|cob
P08453950A0498|84 86|min
P08343961A0000|84 86|bcd
P10809233A0606|84 85|H3
P00704675A0199|84 84|d
P11016724A0536|84 84|h
P10563605A0773|84 84|r
P08286035A0587|84 84|A
P03878585A0507|84 84|r
P11793614A0000|85 101|phosphodiesterase
P09335608T0000|85 90|myosin
P00935526A0000|85 88|lack
P10861906A0999|85 88|IME1
P08223613A0519|85 88|TSL1
P08016102A1238|85 88|AP-2
P10987301A0332|85 88|GPCR
P07949770T0000|85 88|pigs
P01824713A0964|85 88|lack
P07663160A0287|85 87|16S
P11375392T0000|85 87|Sp1
P02675492A0806|85 87|CRP
P10585440A0204|85 87|arm
P09236224A0939|85 87|NGF
P08832146A0959|85 87|PTH
P11113692A0169|85 87|PDR
P07934666A0158|85 86|T2
P08842143A0000|85 86|bv
P01592545A0726|85 85|p
P11435517A0396|85 85|P
P07559233A0534|85 85|P
P11443999A0573|85 85|P
P01646487A0874|85 85|T
P10482620A1009|86 91|Stat5a
P07791769A0826|86 90|TFIIB
P08497280A1397|86 89|SWI6
P10794405A0000|86 89|step
P09241232A1154|86 89|Ogg1
P01549123A0480|86 89|bZIP
P09343433A0360|86 89|ADE2
P10628971A1165|86 89|RIC1
P02167784A0109|86 88|min
P10529198A0068|86 88|Sos
P11368363A0129|86 88|MPO
P08131746A0140|86 88|mos
P08631958T0000|86 88|p53
P08187085A0086|86 88|ret
P09618481T0000|86 88|Sp1
P01446828A1088|86 88|Sp1
P04018444A0000|86 88|man
P08312243A0177|86 87|Cu
P11278286A1083|86 87|MR
P02702849A0418|86 86|g
P11427329A1077|86 86|N
P01285807A0365|86 86|P
P02113699A0372|86 86|N
P07564210A0557|86 86|h
P09837933T0000|87 99|monooxygenase
P09162092A0675|87 91|MEKK3
P07590264A0373|87 90|DHFR
P10544037A0617|87 90|FZD4
P09445488A1169|87 90|SUR1
P09341193A0362|87 90|TRE1
P09748286A0000|87 90|LIFR
P01321277A0664|87 89|ros
P02182240A0355|87 89|min
P09736715A0729|87 89|ILK
P06138313A0948|87 89|min
P08940134A0705|87 89|Cas
P09398267A0440|87 89|CEF
P01549465A0122|87 89|Ser
P09892662A0334|87 88|Gs
P02575959A0643|87 88|T2
P06370553A0444|87 88|wk
P07130335A1081|87 87|P
P09220177A0564|87 87|h
P10895851A0696|87 87|g
P11214354A1104|87 87|p
P09564917A0900|87 87|p
P11431472A0540|87 87|A
P08430095A0161|88 92|PRP38
P08088777A0754|88 91|Rxra
P10533066A1197|88 91|TSC2
P10477597A0126|88 91|GCKR
P08542027A1471|88 91|CD44
P11246887A0000|88 91|CETP
P06748227A0423|88 91|side
P08529098A0549|88 91|SMF2
P10825200T0000|88 91|Jak3
P08124956T0000|88 91|pigs
P09858714A1171|88 90|srd
P01386210A0293|88 90|man
P08400928A0318|88 90|arm
P10607899A0605|88 90|Sp1
P02182618A0168|88 90|CAT
P10505694A0739|88 90|min
P09881692A1109|88 89|b6
P08194549A0000|88 89|CP
P02113699A0372|88 89|IM
P09031639A0474|88 89|aa
P01756195A1117|88 88|p
P08706368A1024|88 88|p
P10760109A1050|88 88|P
P11730712A0416|88 88|P
P09312025T0000|88 88|t
P09660838A0920|89 92|HSF1
P09927449A0421|89 92|CLN1
P10556046A0328|89 92|side
P02123467A0811|89 91|Sp1
P02456827A0899|89 91|Ba2
P07236351A0812|89 91|CA4
P10790390X0000|89 91|mod
P09776293A0777|89 90|ml
P02468795A1086|89 89|r
P11522584A0882|89 89|P
P09226345A0436|89 89|p
P02800435A0000|89 89|T
P08832146A0959|89 89|r
P07440430A1074|89 89|b
P07914507A1029|89 89|A
P08816443A1674|89 89|N
P11408099A0518|89 89|r
P08684522A0415|90 97|collagen
P10799501A1391|90 94|Cdc42
P10037681A0494|90 93|PLD1
P07780738A0091|90 93|PCNA
P11560992A1184|90 93|MKK7
P06468632A0135|90 92|ear
P01446828A1088|90 92|AP2
P11410664A0963|90 92|MPG
P06252883A0100|90 92|PWD
P09305755A0540|90 92|NF1
P11278286A1083|90 91|GR
P10958456A0529|90 91|Cp
P07597030A0260|90 90|h
P02981840A0907|90 90|d
P07595857A0521|90 90|A
P11202434T0000|91 95|ACBP2
P02505087A1037|91 94|GCN4
P10861906A1479|91 94|CCL1
P10951848A0230|91 94|CD34
P10074135T0000|91 94|RNA1
P09525891T0000|91 94|CRS1
P03664038A0000|91 93|GSS
P10910908A0767|91 93|EPO
P11221845A1713|91 93|mlt
P10022875A1265|91 93|Pak
P07106534A0160|91 93|man
P09167421A0234|91 92|Gy
P01748292A0000|91 92|cv
P01295373A0651|91 91|B
P02630543A0210|91 91|T
P10563605A0773|91 91|p
P03436877A0950|91 91|c
P11886473A0796|91 91|p
P11677363A0775|91 91|P
P11574088A1687|91 91|P
P10228009A0600|92 96|TRAF2
P09159183A0119|92 95|bZIP
P10861906A0999|92 95|IME2
P05437405T0000|92 94|man
P08727992A0570|92 94|min
P02036066A0000|92 94|PHP
P07548425A0000|92 94|Sur
P07607669A1112|92 94|Sp1
P10428811A1067|92 94|Src
P11108720A0124|92 92|N
P08429020A0495|93 104|glycoprotein
P08617216A0584|93 102|luciferase
P08977235A0588|93 97|STAT1
P11012680A1020|93 97|FGFR1
P10544037A0617|93 97|FZD10
P08657183A0145|93 96|DHFR
P09843572A0944|93 96|Wee1
P03325081A0524|93 95|PBK
P09582331A0506|93 95|SP1
P11423991A1393|93 95|p53
P02511069A0532|93 95|RR2
P08524292A1022|93 95|AP1
P10958456A0529|93 95|F10
P10679065A1217|93 95|BCR
P07487908A0230|93 95|CAT
P07639106A0678|93 95|fit
P10869076A1384|93 95|Rho
P11063127A0000|93 94|PP
P01916405A0242|93 94|PC
P04024685A0650|93 93|p
P08955928A0390|93 93|h
P07565740T0000|94 104|transporter
P09694869A0932|94 98|Stat3
P10733591A0533|94 98|Cdc42
P09882451A0195|94 98|HEM15
P09545332A0137|94 97|IRS1
P08955306A0224|94 97|ORF1
P09618475A0747|94 97|Nrd1
P11522658A0870|94 97|Cdk2
P02834843A0000|94 96|RPE
P10362652A1456|94 96|EGF
P09453689A0000|94 96|BCR
P09753241A0524|94 96|MPO
P02997777A0609|94 95|ts
P07528531A0904|94 95|rs
P09218520A0075|94 95|cd
P02630543A0210|94 94|T
P09861099A1011|94 94|r
P01333317A1008|94 94|s
P08552387A0000|94 94|t
P08599946A0999|94 94|s
P08608126A0811|94 94|d
P10777499A0883|94 94|B
P08627649A0734|94 94|s
P09430461A0742|94 94|p
P00534613A0000|95 102|collagen
P09011744A0790|95 100|Grin2b
P09121433A0463|95 98|MEF2
P07687541A0992|95 97|Ran
P09837715A0581|95 97|CAT
P09724654A1120|95 97|RPA
P11314030A1264|95 97|Abl
P11084334A0590|95 97|TPR
P07799948A0777|95 97|Src
P10334888A0960|95 97|min
P06230499A0128|95 96|Gy
P09617765A0174|95 96|nt
P08611280A0820|95 95|p
P07806651A0097|95 95|L
P07905413A0585|95 95|h
P01312005A0600|95 95|H
P00136175A1137|95 95|h
P11027289A0321|95 95|S
P02253663A0687|95 95|h
P11538437A0568|95 95|A
P09735371A0227|96 100|mec-3
P08871635A0000|96 99|CD40
P02158927A0000|96 99|CYC1
P09495283A0000|96 99|HSF1
P10471696A0734|96 98|ACS
P09799793T0000|96 98|EPO
P01321277A0342|96 98|CEF
P01082833A0000|96 97|IM
P08238626A0248|96 97|ml
P11266184A0000|96 97|MR
P11042703A0875|96 97|mo
P02603923A0220|96 97|ml
P02735364A1330|96 96|p
P07945134A0079|96 96|m
P11509266A0955|96 96|P
P01535242A0557|96 96|h
P02113699A0372|96 96|N
P07113897A0285|96 96|p
P08188978A0822|96 96|s
P07910946A0323|97 106|luciferase
P01903841A0125|97 102|eIF-5A
P09802206A1058|97 100|RPS7
P01970801A0925|97 99|arm
P10198056A0000|97 99|GPI
P07958865A1152|97 99|Tek
P08022212A0071|97 99|ALP
P07274428A0000|97 99|RCA
P04999086T0001|97 99|man
P07065206A0398|97 99|min
P11313961A1323|97 99|p53
P08997532A0116|97 99|TES
P01302765A0999|97 98|ad
P10643313A0345|97 98|ml
P02393895A0918|97 97|r
P11408099A0518|97 97|P
P11810685A0147|97 97|r
P07068887A0000|97 97|N
P02630543A0210|97 97|T
P06503329A0588|97 97|g
P08126096A1071|97 97|A
P07508250A0537|97 97|r
P08893779A0229|97 97|p
P08832146A0959|97 97|p
P06895663A0810|97 97|P
P06916588A0304|97 97|p
P08896402A0587|98 109|glycoprotein
P08608222T0000|98 102|STAT3
P09886843A0339|98 101|NRGN
P10611242A0541|98 101|Spt3
P02208762A0228|98 100|ear
P10861086A0259|98 100|Csk
P09609342A0000|98 100|AFP
P09780228A0613|98 100|FAS
P08065331A0279|98 100|HLF
P11463834A0606|98 100|CR2
P11697760A0000|98 100|PTH
P01452037A0000|98 100|PGK
P07864652A0753|98 99|H1
P02882893A0301|98 99|sp
P01427457A0000|98 98|h
P08749394A0874|98 98|H
P10544089A1208|98 98|H
P07191804A0000|98 98|h
P01878755A0496|98 98|P
P02289639A0989|98 98|p
P01694014A0716|98 98|h
P03863561A0405|98 98|p
P07616802A0315|98 98|p
P01898164A0839|99 102|arch
P11306511A1476|99 102|lack
P07655509T0000|99 101|pea
P09178752A0574|99 100|ER
P03297181A0127|99 100|SR
P03732252A0556|99 99|r
P06435565A0648|99 99|p
P08618433A0000|99 99|R
P07141130A0615|99 99|p
P06503329A0588|99 99|P
P04061342A0512|99 99|p
P02153683A1579|100 105|ATPase
P09735366A1180|100 103|EPL1
P11059786A0682|100 103|EGFR
P06198532A0982|100 102|RHD
P07814717A0669|100 102|Met
P09452421A1042|100 102|Tyr
P11310937A0548|100 102|CRP
P07729427A0942|100 102|TBP
P03382772A0319|100 102|man
P01350932A1123|100 102|Cys
P11257870A0000|100 101|TF
P09104816A0610|100 101|VV
P10353880A0257|100 100|P
P07327097A0647|100 100|p
P09861099A1011|100 100|P
P11069788A0531|101 105|decay
P08861955A0927|101 104|ARF1
P11113179A1020|101 104|SRC1
P10347197A0502|101 104|Grb2
P02158927A0000|101 104|UTR1
P10526670A0236|101 104|PIP2
P06089575A0464|101 103|min
P09254678A0106|101 103|MBP
P09506962A1000|101 103|YY1
P03198525A0164|101 103|MGA
P08647086A0720|101 103|p53
P06259220A0000|101 103|min
P10778757A0000|101 103|Mn1
P11886473A0796|101 103|nod
P10809233A0606|101 103|H11
P07494293A0585|101 103|Lck
P01620781A0611|101 102|A3
P10215485A0837|101 102|NA
P03340726A1103|101 102|Gy
P09710599A0310|101 101|h
P11427329A1077|101 101|r
P11844812A0915|101 101|P
P01464606A0344|102 112|fibronectin
P02026491A0399|102 105|pain
P08649389A0692|102 105|CTCF
P09512416A0460|102 105|GCR1
P02482293A1518|102 104|EGF
P07563994A0488|102 104|min
P09199932A1357|102 104|ATM
P07624581A0312|102 104|PRL
P09453537A0863|102 104|SP1
P07649098A0676|102 103|nt
P11543317A0203|102 103|Tb
P01756195A1117|102 102|r
P07706307A0914|102 102|B
P09396437A0878|102 102|P
P10505694A0739|102 102|r
P07704040A0000|102 102|P
P04002131A0506|102 102|P
P01585014A0000|102 102|h
P11027289A0000|102 102|S
P02883327A0413|102 102|L
P07528531A0904|102 102|P
P01886368A0000|103 106|pigs
P09495283A0000|103 106|HSF2
P08589735A0577|103 106|Adh1
P09617765A0174|103 106|poly
P10460171A0842|103 106|step
P11063127A0000|103 106|PP2A
P03360948A0477|103 105|CAP
P10711674A0000|103 105|MIM
P08939891A0285|103 105|Nrl
P10817754T0000|103 105|H19
P08702633A0164|103 105|Shc
P07929165T0000|103 104|A3
P08361755A0734|103 103|s
P10027498A0536|103 103|p
P09792630A1127|103 103|N
P10364425A0610|104 108|STAT3
P08642285A1548|104 108|STAT1
P00437749A0242|104 107|pain
P01531632A0000|104 107|SSB1
P09135149A0000|104 107|Wee1
P09488713A0886|104 107|SCAP
P03280946A0375|104 106|cni
P10878398A0542|104 106|Epo
P10198061A0339|104 106|Ran
P08086450A0467|104 105|GC
P02462523A0394|104 105|su
P01943184A1050|104 104|p
P11593394A0000|104 104|D
P02630543A0210|104 104|T
P02800417A0332|104 104|r
P07704040A0000|104 104|H
P10853850A1103|104 104|p
P07508250A0537|104 104|p
P11178696A0301|104 104|g
P11517399A0858|104 104|T
P01849509T0000|105 115|transposase
P02083199A1175|105 108|EGFR
P10544037A0617|105 108|FZD9
P07563090A0624|105 108|PPT2
P08226616A0000|105 108|step
P08088777A0754|105 107|Ak1
P10426450A1458|105 107|ILK
P10617126A1005|105 107|CA1
P07929431A0949|105 107|CAT
P09354644A0124|105 107|Gal
P10811908A0938|105 107|Ser
P02227438A0492|105 106|nt
P00313766A0666|105 105|p
P07592220A0846|105 105|P
P02393895A0918|105 105|p
P03355122A0238|105 105|h
P01477021A0394|105 105|P
P10770041A0731|105 105|p
P11157784A0141|106 111|DGCR6L
P07624119A0528|106 109|GAL4
P10469656T0000|106 109|MSK1
P07656588A0101|106 109|FUT1
P02158927A0000|106 109|UTR3
P10793143A1533|106 109|Cdc6
P08702845A0000|106 108|DAT
P09729481A1177|106 108|Sp1
P08995410A0000|106 108|Met
P00921911A0159|106 107|cm
P08015850A1076|106 107|Ga
P10197985A0145|106 107|ss
P01963419A0501|106 106|p
P09638650A0169|106 106|r
P01725547A0354|106 106|p
P07563994A0488|106 106|p
P08846775A0110|107 110|CLN1
P10556028A0292|107 110|Prep
P08395014A1364|107 110|PPZ1
P10090146T0000|107 110|AP-2
P10469174A0678|107 110|MBF1
P02179815A0582|107 109|CEF
P02196565A0606|107 109|TUF
P09058378A1134|107 109|p53
P07948129A0297|107 109|CAT
P09617807A0929|107 109|pea
P09195923A0125|107 109|TPR
P08915508A0000|107 109|Tat
P09773975A1873|107 109|min
P01372802A1481|107 108|C3
P09633630A0740|107 108|Ps
P10457075A1198|107 108|Rn
P11743360A2491|107 108|pg
P01620781A0611|107 108|B4
P02133731A1572|107 107|p
P02151229A0921|107 107|p
P09142146A0887|107 107|p
P06287212A1352|107 107|T
P07762504A0648|107 107|g
P09474001A0825|107 107|p
P10706736A1091|108 112|HLA-A
P06584416A0157|108 110|PGF
P10407184A0520|108 110|CAT
P10692374A1873|108 110|PAN
P09724654A0761|108 110|RPA
P02796988A0735|108 110|Sp1
P10825200T0000|108 110|Syk
P09427627A0930|108 110|S6k
P02033038A0309|108 109|E3
P11070007A0136|108 109|Cp
P10090943A1426|108 108|P
P07528746A1049|108 108|P
P01588270A1029|108 108|P
P01648142A1170|108 108|P
P09617765A0174|108 108|A
P11461595A0000|108 108|B
P11427329A1077|108 108|N
P11238447A0524|109 114|eIF-5A
P09819391A1123|109 113|ASAP1
P07844142A0640|109 113|SRP54
P07543684A1027|109 112|CFTR
P08848052A0733|109 112|Gle1
P08088777A0754|109 112|Fpgs
P10913276A0684|109 112|SOS1
P08647802A0000|109 112|Grb2
P08307338A0227|109 111|cob
P08530345A0880|109 111|DR1
P09736770A0351|109 111|Sp1
P06659982A0231|109 110|QS
P11125363A0525|109 110|gm
P09089653A1112|109 110|nt
P10319955A0941|109 109|P
P10505694A0739|109 109|P
P10694605A1327|109 109|P
P10872851A0714|109 109|P
P09132061A0828|110 119|peroxidase
P09372968A0532|110 115|dynein
P07748451A0343|110 113|poly
P10684941A0722|110 113|side
P03025862A0860|110 113|poly
P09418905A1396|110 112|EGF
P10065684A0916|110 112|mit
P09755199A0559|110 112|Scm
P10446912A0883|110 112|Sp1
P10681520A0525|110 112|Rho
P11692004A1200|110 112|NF1
P10602507A0652|110 112|p53
P10521796A0872|110 111|IM
P02774271A0000|110 111|Br
P08317094A0778|110 111|nt
P01372802A1481|110 110|D
P10972980A0295|110 110|B
P09673436A0898|110 110|P
P10544037A0617|111 115|FZD10
P02146266A0000|111 115|sod-1
P01531632A0000|111 114|NSR1
P10725382A0398|111 114|SOS2
P10036191A0000|111 114|TFE3
P09808366A0828|111 114|side
P02158927A0000|111 114|OSM1
P02107073A0584|111 114|STE4
P02780157A0576|111 114|lack
P10805737T0000|111 114|eIF5
P09712915A0672|111 113|Sp3
P11133986A0350|111 113|PIP
P07007591A0324|111 113|CPZ
P09331864A0848|111 113|MGA
P09010223A0667|111 113|SRF
P11743360A2491|111 112|ml
P10559324A0716|111 112|Ad
P07982995A0000|111 111|H
P07440430A1074|111 111|P
P08441411A1260|111 111|h
P08299896A0880|111 111|b
P07673154A0688|112 122|fibronectin
P09011744A0790|112 117|Grin2c
P09036529A0343|112 115|CAST
P03959045A0000|112 115|MCAT
P09123787A0486|112 115|side
P08269439X0000|112 115|pain
P10517672A1417|112 115|CTF1
P08955189A1198|112 114|Sp1
P07590283A0820|112 113|aa
P07583562A1826|112 113|TG
P02542612A0530|112 112|Z
P06468673A0358|112 112|P
P04011338A0620|112 112|r
P09160361A0858|112 112|p
P03568311A1361|112 112|r
P11886473A0796|112 112|p
P02800417A0332|112 112|p
P07687541A0992|113 116|CNR1
P08846775A0110|113 116|CLN2
P10194769A0146|113 116|PREB
P09574799A1072|113 116|lack
P09024805A0905b|113 115|AP1
P09311796A0218|113 115|TBP
P08824798A0761|113 115|CRP
P07221179A0156|113 115|min
P09799086A0725|113 114|Gs
P07959760A0763|113 114|Mb
P09914518A1217|113 114|ER
P10624787A0432|113 113|P
P08453950A0498|113 113|h
P11773168A0915|113 113|P
P09315678A0278|114 120|Nopp140
P07571766A0122|114 117|pain
P08395014A1364|114 117|PPZ2
P10836786A0516|114 117|MRP3
P10825200T0000|114 116|Lck
P09736770A0351|114 116|Sp3
P06468565A0000|114 116|tau
P10920906A0759|114 115|cm
P09382498A0618|114 115|cm
P11408099A0518|114 114|r
P08879237A0744|114 114|R
P10775038A0142|114 114|s
P07026328A0369|114 114|p
P08977235A0588|115 119|STAT3
P07489502A0000|115 118|poly
P10940562T0000|115 118|step
P09294471A1198|115 117|fit
P08621384A0935|115 117|min
P08808707A0631|115 117|Jun
P10722737A1726|115 117|Sp1
P11056007A0224|115 117|SET
P08041362T0000|115 117|Cys
P10824958A1109|115 116|wk
P01477021A0394|115 115|P
P03597218A0901|115 115|P
P03436877A0950|115 115|r
P03025862A0860|115 115|A
P08453950A0498|115 115|P
P07463294A1216|115 115|p
P10903733A0540|116 120|TRAF2
P10681520A0525|116 120|Cdc42
P08025074A0000|116 119|shot
P08497269A0999|116 119|GCN2
P10036191A0000|116 119|TFEB
P08345191A1140|116 119|MCL1
P06328504A0161|116 118|PGK
P11389085A1032|116 118|RET
P11094590A0617|116 118|VAP
P09488486A0906|116 118|Pol
P10446912A0883|116 118|Sp3
P09696819A0450|116 117|ER
P03736081A0465|116 116|p
P11263622A0683|116 116|r
P09882303T0000|117 121|TRADD
P08805338A1061|117 120|Ogg1
P06158844A0000|117 120|pain
P03110119A0267|117 119|tip
P04066194A0163|117 119|ear
P06345840A0348|117 119|TPR
P10319327A1237|117 119|SRF
P10544088A0308|117 119|Tat
P09478976A0718|117 119|OSM
P09777477A0000|117 119|air
P08710377A0577|117 119|Shc
P03340774A0328|117 119|rad
P02135536A0621|117 118|Hk
P07508250A0537|117 118|mo
P02637597A0362|117 118|C3
P11844812A0915|117 117|P
P11787720A1313|117 117|P
P06805504A0629|117 117|N
P01279374A0396|118 123|PET122
P09121433A0463|118 121|SMP1
P11730182A0984|118 121|Acer
P09099745A1446|118 121|Cdk2
P00753237A0000|118 120|fig
P10517672A1417|118 120|NF1
P10644357A0935|118 120|VP2
P10194769A0146|118 120|PRL
P02044975A0380|118 120|min
P01295373A0651|118 118|p
P02704579A1078|118 118|P
P03710973A0817|118 118|P
P00377466A0188|118 118|P
P07857344A0591|118 118|h
P07518460A0771|119 129|phosphatase
P10733569A0364|119 122|HSF2
P11274357A0724|119 122|Rac1
P08057421A1583|119 122|CBF1
P09488486A0000|119 121|Pol
P10642524A0156|119 121|TPR
P08390747A0586|119 121|syn
P10534048A0297|119 121|ACF
P09510582A0157|119 121|HBB
P08754777A1214|119 120|dn
P03709627A0247|119 119|h
P10645921A1320|119 119|P
P10543270A1054|119 119|p
P10683989A0251|119 119|P
P11538437A0568|119 119|B
P08299896A0880|119 119|P
P04011338A0620|119 119|p
P07687541A0992|120 123|CNR2
P10767251A1046|120 123|pigs
P09423310A0251|120 123|CD34
P10385915A1341|120 123|side
P10815410A0000|120 122|TNF
P03109147A0000|120 122|und
P08923469A1391|120 122|VDR
P07958898A1050|120 122|Sp1
P10627834A0178|120 122|Rex
P03102289A0786|120 121|cm
P01386897A0000|121 124|CLN1
P07565049A1032|121 124|term
P10036191A0000|121 124|TFEC
P07715922A0188|121 123|PRK
P11289149A0658|121 123|CBP
P01549129A0356|121 123|Src
P09371626A1345|121 123|VP2
P09536028A0945|121 122|TF
P03944212A0166|121 121|h
P08668190A1364|121 121|H
P10624787A0432|121 121|P
P09790986A0689|122 127|NRAMP2
P08088777A0754|122 125|Pbx3
P09852005A1287|122 125|SAP1
P09339900A0939|122 124|AP2
P09488441A0615|122 124|Sp1
P08798443A0660|122 124|Myb
P09382886A1061|122 124|p53
P09777477A0000|122 124|air
P08070004A0782|122 124|min
P09714835A0345|122 124|CPE
P06467797A0233|122 123|rs
P08057762A0878|122 123|T2
P07528531A0904|122 123|rs
P07649098A0676|122 123|nt
P06479976A0386|122 122|P
P11408099A0518|122 122|P
P01869968A0673|122 122|p
P03443573A0329|122 122|g
P03436877A0950|122 122|P
P06735247A0803|122 122|r
P11773168A0915|122 122|P
P10781552A0000|122 122|H
P07704040A0000|123 136|oxidoreductase
P08662193A0404|123 126|NIT4
P08818718A1229|123 126|MDR1
P08524292A1022|123 125|YY1
P08631685A0000|123 125|min
P09763470A1756|123 125|AP2
P03663789A0568|123 125|HAL
P11371417A0744|123 125|TNF
P10655164A0546|123 124|Li
P11730182A0984|123 123|r
P11274357A0724|124 128|Cdc42
P06744024A0000|124 127|pain
P09860979A0521|124 126|Crk
P01588270A1029|124 126|DBP
P07426745A0177|124 125|Gy
P03282813A0794|124 124|r
P10442493A0815|124 124|r
P08922390A0793|125 131|stretch
P07172690A0547|125 130|ATPase
P09882303T0000|125 129|TRAF2
P11223257A0404|125 128|PP2A
P08552042A1497|125 128|poly
P01348590A0000|125 127|CD4
P10493575T0000|125 127|p53
P07988730A0220|125 127|CAT
P11221845A1713|125 127|mlt
P03340774A0328|125 126|Gy
P08669676A1644|125 125|P
P11263622A0683|125 125|r
P02354381A0207|125 125|H
P11730182A0984|125 125|p
P01783088A1136|126 136|fibronectin
P09382924A0131|126 131|PSMB10
P09346925A0660|126 129|Grb2
P09536028A0945|126 128|EGF
P10544089A1208|126 127|MP
P01589576A0170|126 127|ps
P07959015A0478|126 127|aa
P02312470A0774|126 126|s
P04061342A0512|126 126|p
P10975465A0134|126 126|D
P03635597A0377|126 126|P
P08385337A0282|127 131|bZIP1
P09882499A0231|127 130|Pax6
P09843572A0944|127 130|Wee1
P08394019A0695|127 129|Fyn
P07629196A0274|127 129|Jun
